00:00:20:04,,Taaawaaaoaaa ,(maaaua,,,,40
00:00:22:00,00:00:22:00,Taaawaaao,Naaaaaaar The birds do it I WANT TO SEE CHANGES IN CONTI JOB.,,,,40
00:00:23:26,,,(baaaiaaaraaadaa,,,,40
00:00:25:18,,Taaawaaaoaaa baaae,Taaahaaaeaaa baaaeaaaeaaa,,,,40
00:00:28:00,,Taaawaaaoaaa,"Iaaanaaa faaaaaaacaaataaa, iaaa",,,,40
00:00:31:13,,Paaaaaaaraa,Baaauaaataaa waaaeaaa laaaiaaakaaaeaaa taaaoaaa taaahaaaiaaan,,,,40
00:00:35:04,,,,,,,40
00:00:37:03,"Maaaaaaaraaalaaaeaaanaaaeaaa Zaaauaaakaaa, Baaa",Haaaeaaaaaaadaaasaaahaa,"Saaaeaaaxaaauaaaaaaalaaa baaaeaaahaaaaaaavaaaiaaao
Naaaeaaaw
Xaa
Xaa",Taaaeaaas,,,40
00:00:40:26,,Two DELETED LONG ROW ABOVE,,,,40
00:00:44:18,,,aaaaraaaeaaa caaaoaaana,,,,40
